--- ATL ---
Tyrese Martin (martity01) | curr_mins, 3.0 | prev_mins, mean: 3.0, std: 2.0603150145508513 | 2fga, mean: 0.42857142857142855, std: 0.4948716593053935 | 3fga, mean: 0.42857142857142855, std: 0.49487165930539345 | fta, mean: 1.0, std: 1.0 | 2fgp: (3, 2) | 3fgp: (2, 3) | ftp: (4, 2) | ast, mean: 1.0, std: 1.0 | reb, mean: 0.5714285714285714, std: 1.049781318335648 | stl, mean: 0.14285714285714285, std: 0.34992710611188266 | blk, mean: 1.0, std: 1.0
Frank Kaminsky (kaminfr01) | curr_mins, 4.9 | prev_mins, mean: 19.555555555555557, std: 10.318388236661244 | 2fga, mean: 5.666666666666667, std: 3.2998316455372216 | 3fga, mean: 1.6666666666666667, std: 1.5634719199411433 | fta, mean: 2.2222222222222223, std: 2.3465235646603197 | 2fgp: (18, 12) | 3fgp: (2, 3) | ftp: (10, 2) | ast, mean: 1.4444444444444444, std: 1.4989708403591155 | reb, mean: 4.555555555555555, std: 2.0608041101101566 | stl, mean: 0.8888888888888888, std: 1.1967032904743342 | blk, mean: 0.7777777777777778, std: 0.628539361054709
Trent Forrest (forretr01) | curr_mins, 3.8 | prev_mins, mean: 12.25, std: 8.74952379656554 | 2fga, mean: 2.1333333333333333, std: 2.2320892057044275 | 3fga, mean: 0.45, std: 0.7621242243449118 | fta, mean: 0.8, std: 1.4118545723031581 | 2fgp: (6, 5) | 3fgp: (6, 23) | ftp: (20, 6) | ast, mean: 1.7666666666666666, std: 1.9524912860809962 | reb, mean: 1.65, std: 1.4121496615680178 | stl, mean: 0.5, std: 0.9036961141150639 | blk, mean: 0.1, std: 0.3511884584284246
Jarrett Culver (culveja01) | curr_mins, 1.5 | prev_mins, mean: 8.702702702702704, std: 7.13902432907143 | 2fga, mean: 2.3783783783783785, std: 2.0840624485034596 | 3fga, mean: 1.2702702702702702, std: 1.3284546732372442 | fta, mean: 0.918918918918919, std: 1.3229446757319372 | 2fgp: (5, 6) | 3fgp: (8, 21) | ftp: (9, 10) | ast, mean: 0.8918918918918919, std: 1.133847403427191 | reb, mean: 1.2972972972972974, std: 1.3728027134270588 | stl, mean: 0.5405405405405406, std: 0.8250993255391216 | blk, mean: 0.13513513513513514, std: 0.3418678551533383
--- BOS ---
Jayson Tatum (tatumja01) | curr_mins, 37.2 | prev_mins, mean: 35.421052631578945, std: 4.0886980230319905 | 2fga, mean: 12.013157894736842, std: 3.661655582745078 | 3fga, mean: 8.56578947368421, std: 2.7015372150129124 | fta, mean: 6.171052631578948, std: 2.988522597040115 | 2fgp: (12, 11) | 3fgp: (7, 12) | ftp: (24, 5) | ast, mean: 4.394736842105263, std: 2.0524628810568886 | reb, mean: 8.013157894736842, std: 2.712026922377584 | stl, mean: 0.9868421052631579, std: 0.8809895909031947 | blk, mean: 0.6447368421052632, std: 0.7381332672503024
Jaylen Brown (brownja02) | curr_mins, 36.0 | prev_mins, mean: 33.13636363636363, std: 6.324283079830408 | 2fga, mean: 11.409090909090908, std: 3.7898479729934027 | 3fga, mean: 7.03030303030303, std: 2.587672974570811 | fta, mean: 4.818181818181818, std: 2.2956420565477176 | 2fgp: (7, 6) | 3fgp: (6, 10) | ftp: (23, 8) | ast, mean: 3.5, std: 2.4199298762692703 | reb, mean: 6.121212121212121, std: 2.9311035852954537 | stl, mean: 1.0606060606060606, std: 1.0571371843946913 | blk, mean: 0.2727272727272727, std: 0.4781737526684696
Marcus Smart (smartma01) | curr_mins, 32.9 | prev_mins, mean: 31.859154929577464, std: 5.470267327834048 | 2fga, mean: 5.042253521126761, std: 3.1908170162987544 | 3fga, mean: 5.070422535211268, std: 2.7696745304390165 | fta, mean: 2.5211267605633805, std: 2.4601566131847274 | 2fgp: (2, 2) | 3fgp: (2, 3) | ftp: (24, 7) | ast, mean: 5.873239436619718, std: 2.6639459108453276 | reb, mean: 3.8028169014084505, std: 2.230516382515961 | stl, mean: 1.676056338028169, std: 1.3507916081531648 | blk, mean: 0.2535211267605634, std: 0.46628015090836195
Al Horford (horfoal01) | curr_mins, 31.6 | prev_mins, mean: 28.536231884057973, std: 5.134649869227999 | 2fga, mean: 4.405797101449275, std: 2.24136889189549 | 3fga, mean: 3.8405797101449277, std: 1.869846063615213 | fta, mean: 1.3768115942028984, std: 2.1474720512453866 | 2fgp: (8, 6) | 3fgp: (2, 3) | ftp: (17, 4) | ast, mean: 3.36231884057971, std: 2.091882270724758 | reb, mean: 7.681159420289855, std: 2.846267597302604 | stl, mean: 0.7101449275362319, std: 0.9795214636936695 | blk, mean: 1.3333333333333333, std: 1.35845891657397
Grant Williams (willigr01) | curr_mins, 29.0 | prev_mins, mean: 23.792207792207794, std: 7.424665215833776 | 2fga, mean: 2.25974025974026, std: 2.097633777617659 | 3fga, mean: 3.3506493506493507, std: 1.7415192185943125 | fta, mean: 1.2337662337662338, std: 1.6971795081887142 | 2fgp: (18, 14) | 3fgp: (8, 11) | ftp: (20, 3) | ast, mean: 1.0129870129870129, std: 1.0750234850168767 | reb, mean: 3.5584415584415585, std: 2.1712017528961676 | stl, mean: 0.4935064935064935, std: 0.6370258944639337 | blk, mean: 0.7402597402597403, std: 0.7796535594703187
